collection,event_title,event_desc,prop_name,prop_type,prop_desc
Segment eCommerce Spec,Products Searched,User searched for products,query,String,Query the user searched with
Segment eCommerce Spec,Product List Viewed,User viewed a product list or category,list_id,String,Product list being viewed
Segment eCommerce Spec,Product List Viewed,User viewed a product list or category,category,String,Product category being viewed
Segment eCommerce Spec,Product List Viewed,User viewed a product list or category,products,Array,Products displayed in the product list
Segment eCommerce Spec,Product List Viewed,User viewed a product list or category,products.$.product_id,String,Product ID displayed in the list
Segment eCommerce Spec,Product List Viewed,User viewed a product list or category,products.$.sku,String,Product SKU displayed in the list
Segment eCommerce Spec,Product List Viewed,User viewed a product list or category,products.$.category,String,Product Category displayed in the list
Segment eCommerce Spec,Product List Viewed,User viewed a product list or category,products.$.name,String,Product Name displayed in the list
Segment eCommerce Spec,Product List Viewed,User viewed a product list or category,products.$.brand,String,Product Brand displayed in the list
Segment eCommerce Spec,Product List Viewed,User viewed a product list or category,products.$.variant,String,Product Variant displayed in the list
Segment eCommerce Spec,Product List Viewed,User viewed a product list or category,products.$.price,Number,Product Price displayed in the list
Segment eCommerce Spec,Product List Viewed,User viewed a product list or category,products.$.quantity,Integer,Product quantity displayed in the list
Segment eCommerce Spec,Product List Viewed,User viewed a product list or category,products.$.coupon,String,Coupon code associated with the product
Segment eCommerce Spec,Product List Viewed,User viewed a product list or category,products.$.position,Number,Position of product in the list
Segment eCommerce Spec,Product List Viewed,User viewed a product list or category,products.$.url,String,URL of the product page for product in the list
Segment eCommerce Spec,Product List Viewed,User viewed a product list or category,products.$.image_url,String,Image url of the product in the list
Segment eCommerce Spec,Product List Filtered,User filtered a product list or category,list_id,String,Product list being viewed
Segment eCommerce Spec,Product List Filtered,User filtered a product list or category,category,String,Product category being viewed
Segment eCommerce Spec,Product List Filtered,User filtered a product list or category,filters,Array,Product filters that the customer is using
Segment eCommerce Spec,Product List Filtered,User filtered a product list or category,filters.$.type,String,ID of the filter type being used
Segment eCommerce Spec,Product List Filtered,User filtered a product list or category,filters.$.value,String,ID of the selection chosen
Segment eCommerce Spec,Product List Filtered,User filtered a product list or category,sorts,Array,Product sorting the customer is using
Segment eCommerce Spec,Product List Filtered,User filtered a product list or category,sorts.$.type,String,ID of the sort type being used
Segment eCommerce Spec,Product List Filtered,User filtered a product list or category,sorts.$.value,String,ID of the selection type being used
Segment eCommerce Spec,Product List Filtered,User filtered a product list or category,products,Array,Products displayed in the product list
Segment eCommerce Spec,Product List Filtered,User filtered a product list or category,products.$.product_id,String,Product ID displayed in the list
Segment eCommerce Spec,Product List Filtered,User filtered a product list or category,products.$.sku,String,Product SKU displayed in the list
Segment eCommerce Spec,Product List Filtered,User filtered a product list or category,products.$.category,String,Product Category displayed in the list
Segment eCommerce Spec,Product List Filtered,User filtered a product list or category,products.$.name,String,Product Name displayed in the list
Segment eCommerce Spec,Product List Filtered,User filtered a product list or category,products.$.brand,String,Product Brand displayed in the list
Segment eCommerce Spec,Product List Filtered,User filtered a product list or category,products.$.variant,String,Product Variant displayed in the list
Segment eCommerce Spec,Product List Filtered,User filtered a product list or category,products.$.price,Number,Product Price displayed in the list
